point_index,image_id,nearest_edge_id,nearest_osm_id,nearest_highway,nearest_name,nearest_distance_m,second_edge_id,second_osm_id,second_highway,second_name,second_distance_m,distance_margin_m,candidate_count_within_threshold,candidate_relationship,bridge_layer_or_tunnel_tag_present,lon,lat
22,1000691167418555,E03303,910632856,primary,Kadir Has Caddesi,3.362769677733102,E03903,931813832,primary,Kadir Has Caddesi,4.524611676776937,1.1618419990438347,6,separate candidate streets,False,28.96070659160614,41.02350012453854
26,1000708194051055,E02903,561590397,trunk_link,,3.5184173250547692,E02816,469405656,trunk,,4.687797573982074,1.1693802489273049,4,separate candidate streets,False,28.95173192024231,41.00207920970797
32,1000951080676297,E02849,485179716,primary,Şehzadebaşı Caddesi,4.445136656057478,E02794,432870062,primary,Şehzadebaşı Caddesi,6.344643118395612,1.8995064623381337,2,separate candidate streets,False,28.957321643829346,41.01313864691622
49,1001260853741664,E02817,469405657,trunk,,4.486480510647184,E02818,469405658,trunk,,5.998113910136813,1.5116333994896287,4,separate candidate streets,False,28.954639434814453,41.00333421724682
93,1002910743446494,E03907,931815219,primary,Atatürk Bulvarı,5.004623280302908,E03284,90888385,primary,Atatürk Bulvarı,6.01246707284738,1.007843792544472,3,separate candidate streets,False,28.960658311843872,41.02197838462962
230,1008254143040070,E01161,183697660,primary,Ragıp Gümüşpala Caddesi,5.839760072157167,E01163,183697896,primary,Ragıp Gümüşpala Caddesi,7.060382480272452,1.2206224081152843,7,separate candidate streets,False,28.96245002746582,41.02148462104003
380,1014353602642042,E03247,89292752,secondary,Kızılelma Caddesi,2.5167990009437498,E03246,89292745,secondary,Kızılelma Caddesi,3.4605184538111966,0.9437194528674469,4,separate candidate streets,False,28.937097787857056,41.00814755680028
381,1014458482631510,E03101,83477314,trunk,Kennedy Caddesi,7.292057169289867,E02894,561590386,trunk,Kennedy Caddesi,9.256688652491434,1.9646314832015666,5,separate candidate streets,False,28.93048346042633,40.99470252110427
422,1016386492434110,E03284,90888385,primary,Atatürk Bulvarı,5.242318511239911,E03907,931815219,primary,Atatürk Bulvarı,5.914428423653421,0.6721099124135099,4,separate candidate streets,False,28.960765600204468,41.022051234681925
449,1018029352058663,E03547,91264115,primary_link,Unkapanı Köprülü Kavşağı,6.304343160880779,E03548,91264122,primary_link,Unkapanı Köprülü Kavşağı,7.90740132708505,1.6030581662042707,2,separate candidate streets,False,28.96217107772827,41.02218074568705
656,1030492551052410,E02070,303877427,service,,18.0402125043259,E01162,183697894,primary,Reşadiye Caddesi,18.823971844956407,0.7837593406305068,2,separate candidate streets,False,28.976526260375977,41.01669654113928
708,1034692270601948,E02873,4885642,pedestrian,Ayasofya Meydanı,12.98221509770539,E03931,932895832,unclassified,,13.60744012992679,0.6252250322213992,6,separate candidate streets,False,28.978500366210938,41.00805849904222
