fraction,repeat,images,covered_km,coverage_pct
0.01,0,1058,17.533737129496064,3.9543554275429025
0.01,1,1058,17.130036330007375,3.863309437987372
0.01,2,1058,16.59811554404178,3.743346201885954
0.01,3,1058,16.56271836704782,3.735363133705339
0.01,4,1058,16.833363431084504,3.796401278055682
0.01,5,1058,17.49595530734706,3.94583455419035
0.01,6,1058,17.981899480127073,4.055428758946785
0.01,7,1058,17.188645344860824,3.8765274344861793
0.01,8,1058,16.431951884590088,3.7058715800320754
0.01,9,1058,16.716857992184515,3.7701259945123113
0.025,0,2644,38.89835229466727,8.772682593725772
0.025,1,2644,38.536834560265575,8.69115008273703
0.025,2,2644,38.4563497475514,8.67299847286399
0.025,3,2644,40.528830576778745,9.140401728371181
0.025,4,2644,39.51028836930693,8.910691548701488
0.025,5,2644,39.17825293399969,8.835808133029936
0.025,6,2644,39.002164317085814,8.79609515154292
0.025,7,2644,38.672076699380554,8.721651024030496
0.025,8,2644,38.701931043566184,8.728384026076455
0.025,9,2644,37.93282050174723,8.55492776726749
0.05,0,5288,67.31280373202875,15.180947952795517
0.05,1,5288,67.58928392195149,15.243302083666446
0.05,2,5288,68.1230161281685,15.363673846452725
0.05,3,5288,68.72836978952537,15.500198280387725
0.05,4,5288,68.49378404473907,15.447292536092096
0.05,5,5288,67.49637224876969,15.222347864014639
0.05,6,5288,68.47373162593156,15.442770146451988
0.05,7,5288,68.3032283030977,15.404316807321678
0.05,8,5288,67.89882903663566,15.313113293637286
0.05,9,5288,68.00477959212749,15.337008151365904
0.1,0,10576,106.54068402153379,24.027948463191887
0.1,1,10576,107.03399183718471,24.139203378436793
0.1,2,10576,106.01994335871792,23.910506662214722
0.1,3,10576,106.03301986154453,23.913455784785896
0.1,4,10576,104.69533407026947,23.611769667901154
0.1,5,10576,106.40639698564276,23.997662924786557
0.1,6,10576,105.41970651802956,23.775136216584265
0.1,7,10576,106.25114660834186,23.96264955783724
0.1,8,10576,106.93378394945785,24.116603655297983
0.1,9,10576,104.55604956931954,23.580357059269225
0.2,0,21153,141.3443312366692,31.877158831011215
0.2,1,21153,142.0644861631178,32.039574208921906
0.2,2,21153,144.04601911460915,32.48646613639373
0.2,3,21153,145.03503965752034,32.7095183427162
0.2,4,21153,143.4627389853243,32.35491991051042
0.2,5,21153,142.87107200708175,32.22148221212178
0.2,6,21153,142.96868477598352,32.24349666230164
0.2,7,21153,144.23147867132136,32.52829253080459
0.2,8,21153,143.30420495673533,32.31916598698738
0.2,9,21153,143.96845543139864,32.46897332414164
0.3,0,31729,159.75935353871466,36.03026908073183
0.3,1,31729,159.19521223675952,35.90303920367757
0.3,2,31729,159.55693935658906,35.98461893702382
0.3,3,31729,159.0193983251033,35.86338817602382
0.3,4,31729,160.65211620049243,36.23161240252543
0.3,5,31729,159.77512174028203,36.0338252577744
0.3,6,31729,160.3981469933231,36.174335137252115
0.3,7,31729,159.4712569011683,35.96529511118247
0.3,8,31729,158.39039192225,35.7215293774852
0.3,9,31729,159.88308199433078,36.05817335957401
0.4,0,42306,169.0144999395637,38.11756730658093
0.4,1,42306,168.11341249273906,37.91434650945562
0.4,2,42306,170.38676910207198,38.427052955346916
0.4,3,42306,168.93009378045815,38.09853132178704
0.4,4,42306,169.33906368665757,38.19076564447236
0.4,5,42306,167.79375051594855,37.84225365990706
0.4,6,42306,168.70144304726426,38.04696409107409
0.4,7,42306,169.20404565466092,38.16031524569547
0.4,8,42306,168.67982587647992,38.042088805446845
0.4,9,42306,169.65139248869187,38.261204654957155
0.5,0,52882,174.5966264305256,39.376495282045596
0.5,1,52882,175.0308128663695,39.474416647950896
0.5,2,52882,175.34425226500966,39.545106129495224
0.5,3,52882,174.83758226659944,39.430837662745134
0.5,4,52882,173.73242820188972,39.18159405074274
0.5,5,52882,174.33444096886018,39.317365018160466
0.5,6,52882,174.5253883001899,39.3604290615211
0.5,7,52882,173.6980736274432,39.17384611903143
0.5,8,52882,175.03126932131983,39.474519591498925
0.5,9,52882,174.65801630453151,39.39034044121951
0.6,0,63458,178.92447043274316,40.352546952795144
0.6,1,63458,178.6034539320518,40.28014861965803
0.6,2,63458,179.65471069184557,40.51723685949702
0.6,3,63458,178.23656522189984,40.19740480117948
0.6,4,63458,179.02271083457885,40.374702952017316
0.6,5,63458,178.910282534714,40.34934717905822
0.6,6,63458,179.06143699499137,40.38343680045386
0.6,7,63458,179.39153942696018,40.457884269003216
0.6,8,63458,178.75658940413516,40.31468501544804
0.6,9,63458,178.41870936784693,40.23848347635304
0.7,0,74035,181.3421468280261,40.89780160701524
0.7,1,74035,181.48360118988174,40.92970358087411
0.7,2,74035,181.7955256155876,41.0000513930184
0.7,3,74035,181.33123628396677,40.89534096962803
0.7,4,74035,181.27064291902826,40.88167544585816
0.7,5,74035,181.42547430628935,40.91659431866023
0.7,6,74035,180.74734254568978,40.76365635749934
0.7,7,74035,181.74317630237928,40.98824513692567
0.7,8,74035,180.82073872446284,40.78020927920386
0.7,9,74035,181.07544860086617,40.83765358641375
0.8,0,84611,183.41576535041486,41.36546144462438
0.8,1,84611,183.36690442708024,41.354441919468044
0.8,2,84611,183.00615505714106,41.27308269647605
0.8,3,84611,182.793728963689,41.225174582570276
0.8,4,84611,182.82292313909787,41.23175869781782
0.8,5,84611,182.83802617599414,41.23516486134599
0.8,6,84611,183.15734633576153,41.30718062145317
0.8,7,84611,183.9422568421993,41.484200220774426
0.8,8,84611,183.17552045075422,41.311279400266336
0.8,9,84611,183.03608432287953,41.27983259545887
