period,matched_images,covered_km,coverage_pct
2009 to 2019,95624,179.29849795243703,40.43690077546446
2020 to 2025,10140,28.29313926823692,6.380906021419032
2023 to 2025,1273,7.279810413796572,1.6418038897625005
2025 only,145,2.488980921288853,0.5613358488529014
