name,osm_relation,zone_id,image_count,area_km2,eligible_km,covered_km,coverage_pct,image_density_per_km2,images_per_eligible_km
Ayvansaray,2463274,Z001,7113,0.621180588156876,19.42220911025273,7.95670347908231,40.967036416480916,11450.776369405232,366.2302243592435
Balat,2463371,Z002,2503,0.4025073068351251,13.671123699960724,3.6444782321095754,26.658219997819536,6218.520651664289,183.08663244757201
Derviş Ali,2463390,Z003,3652,0.3678272133565814,14.298320349447192,5.648313764712957,39.50333764155266,9928.574796502766,255.4146158951597
Atikali,2464768,Z004,765,0.227803041549288,8.188542810733965,1.4669171298836607,17.91426342621974,3358.164117551885,93.42321554418675
Yavuz Sultan Selim,2464918,Z005,3613,0.3505280173924855,12.419847728351355,4.409402666772457,35.502872202747795,10307.30732132756,290.9053378933495
Karagümrük,2468218,Z006,1343,0.3560592655917349,10.150512729161775,4.154465042913191,40.92862256088481,3771.8439871746305,132.30858734275034
Hırka-i Şerif,2468219,Z007,2052,0.4310590727726389,13.818650254318024,5.996878944861822,43.3969948909296,4760.36842653889,148.49496602309586
Topkapı,2468242,Z008,3660,0.6898025406703596,18.880772239008092,6.709429265824306,35.53577777905968,5305.866221430791,193.84800333740372
Şehremini,6868850,Z009,3002,0.46470706758223285,12.720022585333188,6.58231001008404,51.74762832318998,6459.9835238545775,236.005870261697
Mevlanakapı,7648808,Z010,1235,0.5024518133222853,10.344295481321543,3.079560672172115,29.77061780314384,2457.947144889374,119.38947434651409
Seyyid Ömer,7648809,Z011,1495,0.46628532652548266,12.538775871786354,3.4367200287302686,27.408736417908806,3206.191391738547,119.23013979091188
Silivrikapı,7648810,Z012,803,0.3147431639989056,7.878957160667002,1.2980522808441768,16.4749249726126,2551.2865467756183,101.9170410024188
Sümbül Efendi,7648811,Z013,1615,0.337143908892744,7.697592097713888,2.4581717888824675,31.934295266340776,4790.239293671421,209.80586909504333
Koca Mustafapaşa,7648812,Z014,2623,0.5007133224382226,16.727392205461268,6.239854440721905,37.30321118844022,5238.526483032858,156.8086625686714
Yedikule,7648813,Z015,2832,0.810526713194084,14.75027124950889,4.885702572611227,33.12279815039941,3494.0242608905423,191.99646922386538
Cerrahpaşa,7648814,Z016,3740,0.8558259152592659,16.47990689632181,8.361128070807574,50.73528705840998,4370.047615194027,226.94302968633514
Haseki Sultan,7648815,Z017,1272,0.29344539834488287,8.605172355921853,3.209801866602842,37.300843421154035,4334.707605484526,147.8180735246567
Molla Gürani,7648816,Z018,3233,0.40395613089843313,12.785284320466639,6.399619201995079,50.054570876852466,8003.344305753029,252.86883881218228
Akşemsettin,7648817,Z019,3459,0.4402667992119087,13.028995851470759,7.118739202473471,54.63766573899003,7856.59969407577,265.4847725359845
Ali Kuşçu,7648818,Z020,1060,0.31027847975441974,9.179004815877516,2.341230345189962,25.506363621687886,3416.2859146369815,115.48092862599329
Cibali,7648819,Z021,3690,0.2760517043486396,9.946628801464483,5.185462458611097,52.13286392921007,13367.06110439265,370.97996453398423
Zeyrek,7648820,Z022,1103,0.3121149683844523,11.407413806468373,3.171852320719641,27.805183317897157,3533.9541890902306,96.69150420181683
İskenderpaşa,7648821,Z023,2348,0.4204269366710446,14.34166176176567,6.097851530825796,42.518444738966295,5584.7991534309085,163.71882415046767
Aksaray,7648822,Z024,4936,0.988923951021015,19.528043379387295,9.992350963765864,51.169237847521515,4991.283702759777,252.76469864923405
Katip Kasım,7648823,Z025,1462,0.16942927320597173,7.208799037005121,3.9084355759346403,54.217568777702965,8628.969317614177,202.8077065951036
Mesihpaşa,7648824,Z026,222,0.07935433671337927,2.4081813274531845,0.9395433654006398,39.01464373508247,2797.5786730074256,92.18574924953019
Kemalpaşa,7648825,Z027,1129,0.17564781432638416,6.007258230130791,2.7704351920390153,46.11813053321494,6427.634777749764,187.93931553287317
Kalenderhane,7648826,Z028,1090,0.1331733080129594,2.9549132664039557,1.9614779692219353,66.38022142724336,8184.823342331705,368.87715534422387
Molla Hüsrev,7648827,Z029,361,0.08922014920389904,2.302972088077648,0.6138649045683963,26.65533411135719,4046.171220527659,156.75396235537372
Hacı Kadın,7648828,Z030,639,0.10267746346036191,2.4497805206896928,0.7173120525301727,29.280666021796353,6223.371502030555,260.83969343510853
Hoca Gıyasettin,7648829,Z031,275,0.0854611505915088,2.770307532636177,0.5866969229195101,21.178043087556404,3217.836386435491,99.26695746241384
Yavuz Sinan,7648830,Z032,823,0.049687102902814535,2.428314080777635,1.1427880165192932,47.06096404767091,16563.654387532846,338.91826700458995
Demirtaş,7648831,Z033,587,0.08480471934559995,2.899897574771686,1.491513958535524,51.43333238771213,6921.7845955934545,202.4209424176699
Sarıdemir,7648832,Z034,4596,0.10679424517609115,3.039406924871587,2.3129792059486896,76.09968862745852,43036.02682355905,1512.1371088519772
Süleymaniye,7648833,Z035,4760,0.2911689347174103,5.740264841963737,3.5436612058537236,61.73340957978242,16347.897843634135,829.230032245622
Balabanağa,7648834,Z036,668,0.11080007644347163,2.742341237272555,1.9704027019654151,71.85111302651433,6028.876706965113,243.58748317710143
Nişanca,7648835,Z037,766,0.2068862353053886,7.425413637383204,2.160351411756039,29.094021117958487,3702.5179508404376,103.1592362940668
Tahtakale,7648836,Z038,1503,0.04730586162708865,1.4940375007495645,1.1136393095869,74.53891278018006,31771.961196862347,1005.9988449057931
