analysis,setting,matched_images,covered_length_km,coverage_pct,covered_unit_pct
Original set,"All valid in-boundary locations, no quality filter",111611,187.7571483058992,42.34456653364627,42.0361823127009
Confirmed usable,"Existing usable=true, match ≤20 m, local coverage 25 m",105764,185.61019081234974,41.86036667627308,41.560207698013684
Match threshold,"Match ≤10 m, local coverage 25 m",96350,179.92752064388537,40.578763247543606,40.29506305118272
Match threshold,"Match ≤20 m, local coverage 25 m",105764,185.61019081234974,41.86036667627308,41.560207698013684
Match threshold,"Match ≤30 m, local coverage 25 m",108852,186.8131311768768,42.13166387460256,41.82601170361823
Local distance,"Match ≤20 m, local coverage 15 m",105764,168.77368134592234,38.063255877945615,37.71738234566884
Local distance,"Match ≤20 m, local coverage 25 m",105764,185.61019081234974,41.86036667627308,41.560207698013684
Local distance,"Match ≤20 m, local coverage 50 m",105764,217.3621991447668,49.02134585357922,48.65037501030248
Ambiguity check,"Match ≤20 m, local 25 m, exclude near ties",88331,177.85124906039636,40.11050506934776,39.7119426357867
