betweenness_class,eligible_km,covered_km,coverage_pct
1,88.4260136621703,21.695361853623503,24.53504455884461
2,88.68326997285759,26.957499957028045,30.397503345646438
3,88.51745508160452,31.36510335512468,35.433806051257456
4,88.61837331778935,42.898873259064025,48.40855417784165
5,88.56128296410529,62.69335238750949,70.79092611262158
