statistic,image_count,image_density_per_km2,eligible_street_length_km,street_coverage_pct,uncovered_street_km_per_km2
Minimum,0.0,0.0,0.017697765455621538,2.3571065450658444,0.0
25th percentile,535.5,3397.6347417159127,3.2490740482884473,32.104054699256665,7.800930363309064
Median,1027.0,5452.615703172625,5.995548697323706,47.76555178788893,14.980655579346012
75th percentile,1612.5,8411.696769847405,7.286937480993068,65.84642385778626,18.907455193616467
Maximum,5838.0,58473.18464333277,9.562863436803157,100.00000000000001,31.010058983257863
