sequence_fraction,repeat,images,image_share_pct,coverage_pct
0.05,0,4001,3.782950720471994,3.64156518032273
0.1,0,8460,7.998941038538633,6.617344165660268
0.2,0,18398,17.395333005559547,13.084401595738695
0.3,0,29895,28.26576150675088,17.521036893557334
0.4,0,41396,39.139972013161376,22.9597684437556
0.5,0,52226,49.37975114405658,28.000282549886556
0.6,0,60873,57.55550092659128,30.836664528216
0.7,0,71766,67.85484663968836,32.85995975908363
0.8,0,83368,78.82455277788283,36.67257071504027
0.9,0,95777,90.55727846904429,39.285101663604024
1.0,0,105764,100.0,41.86036667627308
0.05,1,5525,5.223894708974698,6.7571128145759785
0.1,1,11515,10.887447524677585,10.573966039036149
0.2,1,22537,21.30876290609281,16.96538255335657
0.3,1,30212,28.565485420369882,20.563314466306164
0.4,1,39972,37.79357815513785,24.617437815042205
0.5,1,50077,47.347868840059,27.83415545686295
0.6,1,59969,56.700767747059494,30.43165871793869
0.7,1,70339,66.50561627775046,34.55144817303396
0.8,1,82241,77.75897280738248,38.32879269582623
0.9,1,93925,88.80621005256987,39.990850868938985
1.0,1,105764,100.0,41.86036667627308
0.05,2,4345,4.108203169320373,3.507575827757476
0.1,2,9496,8.978480390302938,7.258764849039694
0.2,2,20535,19.415869293899625,14.752663112774975
0.3,2,32773,30.98691426194168,20.815056810452663
0.4,2,42398,40.08736432056276,25.03086802983799
0.5,2,50637,47.87734957074241,27.86665779274989
0.6,2,61316,57.97435800461405,30.8061108594817
0.7,2,71839,67.92386823493817,33.45279920854912
0.8,2,84740,80.12178056805719,37.75551074863307
0.9,2,96420,91.16523580802541,40.63766507170157
1.0,2,105764,100.0,41.86036667627308
0.05,3,6580,6.221398585530048,6.472983624125476
0.1,3,14555,13.761771491244659,11.600066700926615
0.2,3,24482,23.147762943912863,17.372288790037008
0.3,3,35600,33.6598464505881,22.33214991854415
0.4,3,45669,43.18009908853674,25.77456911669676
0.5,3,54915,51.92220415264173,29.86055021920728
0.6,3,63678,60.20763208653228,31.927310355969635
0.7,3,74625,70.55803487008812,34.28046101114127
0.8,3,85490,80.83090654665104,36.47508844579347
0.9,3,95322,90.12707537536402,39.375284217011036
1.0,3,105764,100.0,41.86036667627308
0.05,4,5830,5.512272606936198,5.844895826543352
0.1,4,11415,10.792897394198404,9.754342604586855
0.2,4,22590,21.358874475246775,17.794843075025753
0.3,4,35403,33.47358269354412,22.360503454060474
0.4,4,46103,43.59044665481638,26.082449181046545
0.5,4,56792,53.69691010173594,30.11903707359658
0.6,4,67901,64.20048409666805,34.00573485924819
0.7,4,78850,74.55277788283348,36.79389140493146
0.8,4,87916,83.12469271207594,38.717900111054945
0.9,4,96863,91.58409288604818,40.55629701736053
1.0,4,105764,100.0,41.86036667627308
0.05,5,5744,5.430959494724103,5.390614944853012
0.1,5,10533,9.958965243372036,8.224130290054111
0.2,5,19852,18.770091902726826,13.84622099365587
0.3,5,30436,28.777277712643244,19.478174148103346
0.4,5,42918,40.5790249990545,23.62753901708323
0.5,5,56610,53.52482886426383,30.11108679386306
0.6,5,66873,63.228508755342084,33.35066806770861
0.7,5,76343,72.18240611172044,35.50781707589427
0.8,5,85259,80.61249574524413,37.033424023331605
0.9,5,95785,90.56484247948262,39.38971941436178
1.0,5,105764,100.0,41.86036667627308
0.05,6,6651,6.288529178170266,5.574652933839237
0.1,6,11794,11.151242388714497,9.982324554133564
0.2,6,24057,22.745924889376347,16.612535664091443
0.3,6,34672,32.78242123974131,20.86774677704822
0.4,6,44510,42.084263076283044,24.606059975300187
0.5,6,54039,51.093945009644116,28.326284132459033
0.6,6,63656,60.18683105782686,32.267648332398785
0.7,6,73123,69.13789191029083,34.442437045151195
0.8,6,84596,79.98562838016717,37.77927814809037
0.9,6,95715,90.4986573881472,40.265977926770596
1.0,6,105764,100.0,41.86036667627308
0.05,7,5494,5.194584168526153,5.328894322280907
0.1,7,10032,9.485269089671343,7.7064579323552875
0.2,7,19248,18.199009114632577,14.479153519452312
0.3,7,30575,28.908702394009303,19.975173971463835
0.4,7,41348,39.09458795053137,25.97653925305159
0.5,7,51413,48.61105858326084,29.55001225390755
0.6,7,63749,60.2747626791725,33.63890271729922
0.7,7,73671,69.65602662531674,35.59412633006812
0.8,7,83443,78.89546537574222,37.62807606388846
0.9,7,95964,90.73408721304035,39.81741018650373
1.0,7,105764,100.0,41.86036667627308
0.05,8,5476,5.1775651450399005,5.734222690567759
0.1,8,10310,9.748118452403464,9.786035499577713
0.2,8,19498,18.43538444083053,14.808516262826222
0.3,8,27743,26.231042698838923,18.496968046103113
0.4,8,36212,34.23849324912069,21.625815206741553
0.5,8,46176,43.65946825006618,25.866503080093246
0.6,8,57880,54.72561552134942,28.582011317945014
0.7,8,69340,65.56106047426346,31.743819843747794
0.8,8,81314,76.88249309784048,36.307595325058585
0.9,8,95520,90.31428463371279,40.09606138611459
1.0,8,105764,100.0,41.86036667627308
0.05,9,5551,5.2484777428992855,5.152733782939062
0.1,9,10352,9.78782950720472,9.358010745414127
0.2,9,21044,19.897129458038652,15.319680481438365
0.3,9,31278,29.573389811277938,20.082407452660675
0.4,9,43509,41.137816270186455,25.279481809467168
0.5,9,53515,50.59850232593321,28.21080871702642
0.6,9,64155,60.65863620891797,30.8992429233278
0.7,9,74217,70.17227033773307,33.06173733253311
0.8,9,86083,81.39158882039257,36.57991890071687
0.9,9,94491,89.34136379108203,38.0698433012252
1.0,9,105764,100.0,41.86036667627308
