road_class,eligible_km,network_share_pct,matched_images,image_share_pct,covered_km,coverage_pct,images_per_covered_km
Major roads,91.89032110704906,20.72387576730843,53283,50.37914602322151,78.5222042960325,85.45209479087231,678.5723920729546
Tertiary roads,40.959168904464626,9.23745523665617,12777,12.080670171324837,26.796911805676515,65.42347543276348,476.80867454634785
Residential and local streets,244.7123302933128,55.18957677620006,23881,22.57951665973299,58.74107759659711,24.004134783968553,406.54684893597243
Service roads,22.675575469772784,5.113985927205003,2031,1.920313150032147,5.008761177603422,22.088794104829883,405.4894869177586
Pedestrian streets,43.1657694383698,9.735106292630329,13792,13.040353995688514,16.541235936440195,38.32026198457333,833.7950110255273
All eligible streets,443.40316521296904,100.0,105764,100.0,185.6101908123497,41.860366676273074,569.8178507177253
